Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Sharma, A., Bist, R.","55482804000; 25421290100","Alteration in cholinesterases, γ-aminobutyric acid and serotonin level with respect to thiamine deficiency in Swiss mice",2019,"Turkish Journal of Biochemistry",44,"2",,218,223,,,10.1515/tjb-2017-0316,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85071929928&partnerID=40&md5=22d0997ca57ec994a0ad1dc86361ee0f",Article,Final,,Scopus,2-s2.0-85071929928
"Salleh, W.M.N.H.W., Khamis, S., Nafiah, M.A., Abed, S.A.","56305730900; 57217455088; 25825474900; 55734929500","Chemical composition and anticholinesterase inhibitory activity of the essential oil of Pseuduvaria macrophylla (Oliv.) Merr. from Malaysia",2019,"Natural Product Research",,"",,,,,1,10.1080/14786419.2019.1639183,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85068783481&partnerID=40&md5=92d6f3352987e375532f644bb19e7526",Article,Article in Press,,Scopus,2-s2.0-85068783481
"Durmaz, L.","57076953400","Antioxidant, antiepileptic, and anticholinergic properties of 4′,5,7-Trihydroxy-3,6-dimethoxyflavone as natural phenolic compound: a toxicology approach",2019,"Toxin Reviews",,"",,,,,3,10.1080/15569543.2019.1610894,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85065548939&partnerID=40&md5=0e56250733c639ca3f9f426c9e943a78",Article,Article in Press,,Scopus,2-s2.0-85065548939
"Kawamoto, H., Takeshita, F., Murata, K.","57210900173; 57210901228; 35332865700","Inhibitory Effects of Essential Oil Extracts From Panax Plants Against β-Secretase, Cholinesterase, and Amyloid Aggregation",2019,"Natural Product Communications",14,"10",,,,,1,10.1177/1934578X19881549,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85087966780&partnerID=40&md5=94c49fe10d2411729fca305e0f30df6c",Article,Final,Open Access,Scopus,2-s2.0-85087966780
"Irshad, M., Abbasi, M.A., Aziz-Ur-Rehman, Ali, Q., Aslam, M., Iram, F., Shahid, M., Ashraf, M., Lodhi, M.A., Jamal, S.B.","57197132903; 7004042601; 35311779500; 24173203400; 56240657800; 55586555200; 56385126100; 55544464800; 7003444928; 56394064900","Design, synthesis, biological evaluation and molecular docking studies of some new sulfonamides possessing 1,4-benzodioxane nucleus",2019,"Acta Chimica Slovenica",66,"2",,294,307,,,10.17344/acsi.2018.4714,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85068585246&partnerID=40&md5=be9cd14c1030040a63f8c6d747fa4036",Article,Final,Open Access,Scopus,2-s2.0-85068585246
"Karakoyun, Ç., Ünver-Somer, N.","57203016888; 36095194900","Simultaneous quantitative analysis of biologically important amaryllidaceae alkaloids in narcissus tazetta L. Subsp. tazetta by HPLC/PDA",2019,"Marmara Pharmaceutical Journal",23,"3",,498,505,,2,10.12991/jrp.2019.156,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85066971778&partnerID=40&md5=852b07ae7a7ed5b50bca336beacc9496",Article,Final,Open Access,Scopus,2-s2.0-85066971778
"Kalász, H., Karvaly, G., Musilek, K., Kuca, K., Young-Sik, J., Malawska, B., Adeghate, E.A., Nurulain, S.M., Szepesy, J., Zelles, T., Tekes, K.","7006355172; 8518643200; 10540229700; 57197789737; 57208644729; 55913729000; 7006818054; 6508089123; 57206273842; 7005791668; 7003274362","Dose-dependent tissue distribution of K117, a bis-pyridinium aldoxime, in rats",2019,"Open Medicinal Chemistry Journal",13,"1",,1,6,,2,10.2174/1874104501913010001,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85065389132&partnerID=40&md5=85bd309ffd1f762aa5be0a877422997c",Article,Final,Open Access,Scopus,2-s2.0-85065389132
"Pecio, L., Alilou, M., Kozachok, S., Orhan, I.E., Eren, G., Deniz, F.S.S., Stuppner, H., Oleszek, W.","36918935600; 56175484800; 57191913818; 7004467864; 24479522800; 26428948100; 57213817564; 7003327554","Yuccalechins A-C from the Yucca schidigera Roezl ex Ortgies bark: Elucidation of the relative and absolute configurations of three new spirobiflavonoids and their cholinesterase inhibitory activities",2019,"Molecules",24,"22", 4162,,,,2,10.3390/molecules24224162,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85075307257&partnerID=40&md5=6fdaf9a843495e67513a8c735e2d9cf9",Article,Final,Open Access,Scopus,2-s2.0-85075307257
"Severcan, Ç., Ekremoglu, M., Sen, B., Pasaoglu, O.T., Akyurek, N., Severcan, S.M., Pasaoglu, H.","36626167000; 16202274000; 57211627301; 43761469800; 6701376935; 57211626364; 6603689881","Acute effects of different doses of malathion on the rat liver",2019,"Clinical and Experimental Hepatology",5,"3",,237,243,,,10.5114/ceh.2019.87637,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85074642762&partnerID=40&md5=04868126a81ae64cdd403165f232a03d",Article,Final,Open Access,Scopus,2-s2.0-85074642762
"Ahmad, H.I., Shoaib Khan, H.M., Akhtar, N., Ijaz, S.","55848088900; 37071157000; 15055469300; 56392688000","Phenolic, flavonoid content and radical scavenging activity of Smilax China with its inhibitory potential against clinically important enzymes",2019,"Natural Product Research",,"",,,,,,10.1080/14786419.2019.1648463,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85070497180&partnerID=40&md5=d2eb86c260ac62f8aba5a44f39ed0a00",Article,Article in Press,,Scopus,2-s2.0-85070497180
"Nabavi, S.M., Uriarte, E., Rastrelli, L., Sobarzo-Sánchez, E.","57206301232; 7007084586; 7003864538; 6601935879","Aporphines and Alzheimer’s disease: Towards a medical approach facing the future",2019,"Current Medicinal Chemistry",26,"18",,3253,3259,,4,10.2174/0929867325666180514102933,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85056889891&partnerID=40&md5=653fbf68b758ceae67e11bacbb50d482",Review,Final,,Scopus,2-s2.0-85056889891
"Erdogan Orhan, I., Küpeli Akkol, E., Suntar, I., Yesilada, E.","7004467864; 23096992900; 35099613700; 7007088981","Assessment of anticholinesterase and antioxidant properties of the extracts and (+)-catechin obtained from Arceuthobium oxycedri (D.C.) M. Bieb (dwarf mistletoe)",2019,"South African Journal of Botany",120,"",,309,312,,4,10.1016/j.sajb.2018.09.023,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85054514853&partnerID=40&md5=36d3a4c566d6c9c9c4cba6c6261b08e2",Article,Final,Open Access,Scopus,2-s2.0-85054514853
"Uysal, S., Zengin, G., Mahomoodally, M.F., Yilmaz, M.A., Aktumsek, A.","36544640100; 8411629800; 9537009000; 56486842000; 55821816000","Chemical profile, antioxidant properties and enzyme inhibitory effects of the root extracts of selected Potentilla species",2019,"South African Journal of Botany",120,"",,124,128,,8,10.1016/j.sajb.2018.01.014,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85041210648&partnerID=40&md5=934c9ecfef02dde0664fa344020c0473",Article,Final,Open Access,Scopus,2-s2.0-85041210648
"Păduraru, A.F., Cioancă, O., Mircea, C., Trifan, A., Aprotosoaie, C., Miron, A., Gille, E., Hritcu, L., Hăncianu, M.","57213597121; 36052586400; 8377629000; 36053890500; 6507681170; 12799279200; 6602980738; 6507103223; 25229552600","Bioactive extracts from cultivated ajuga genevensis L. And A. reptans L.: In vitro/in vivo pharmacological effects",2019,"Farmacia",67,"4",,603,609,,2,10.31925/farmacia.2019.4.7,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85077841098&partnerID=40&md5=37708048df825d3c7d0a93af9cc5104f",Article,Final,,Scopus,2-s2.0-85077841098
"Arslan, T., Buǧrahan Ceylan, M., Baş, H., Biyiklioglu, Z., Senturk, M.","35738432100; 57212480015; 7003692756; 15069066100; 23013520200","Design, synthesis, characterization of peripherally tetra-pyridine-triazole-substituted phthalocyanines and their inhibitory effects on cholinesterases (AChE/BChE) and carbonic anhydrases (hCA I, II and IX)",2019,"Dalton Transactions",49,"1",,203,209,,3,10.1039/c9dt03897c,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85076816562&partnerID=40&md5=94cbbedd551d7636aa58419174710ba0",Article,Final,,Scopus,2-s2.0-85076816562
"Tkacz, K., Wojdyło, A., Turkiewicz, I.P., Ferreres, F., Moreno, D.A., Nowicka, P.","57207858637; 55901767500; 57207861322; 7003979334; 56526352700; 57118370800","UPLC-PDA-Q/TOF-MS profiling of phenolic and carotenoid compounds and their influence on anticholinergic potential for AChE and BuChE inhibition and on-line antioxidant activity of selected Hippophaë rhamnoides L. cultivars",2019,"Food Chemistry",,"", 125766,,,,11,10.1016/j.foodchem.2019.125766,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85075419446&partnerID=40&md5=d927e7328b8f3f1c084c29ad3312136b",Article,Article in Press,,Scopus,2-s2.0-85075419446
"Mathew, B., Parambi, D.G.T., Sivasankarapillai, V.S., Uddin, M.S., Suresh, J., Mathew, G.E., Joy, M., Marathakam, A., Gupta, S.V.","37000054700; 36996048500; 57210900017; 57194343265; 57193060944; 36872548200; 57189232720; 55694047100; 35310456700","Perspective design of chalcones for the management of cns disorders: A mini-review",2019,"CNS and Neurological Disorders - Drug Targets",18,"6",,432,445,,14,10.2174/1871527318666190610111246,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85073031089&partnerID=40&md5=17f70e17c48d63814ad2a4df64c53814",Review,Final,,Scopus,2-s2.0-85073031089
"Mezeiova, E., Chalupova, K., Nepovimova, E., Gorecki, L., Prchal, L., Malinak, D., Kuca, K., Soukup, O., Korabecny, J.","56168434700; 57207314812; 36703250600; 57057601200; 57211480220; 55910829700; 57197789737; 23968390800; 35734188400","Donepezil derivatives targeting amyloid-β cascade in Alzheimer's disease",2019,"Current Alzheimer Research",16,"9",,772,800,,7,10.2174/1567205016666190228122956,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072308142&partnerID=40&md5=0db1c393b01cbdc557a3e4ae7a3a60d5",Review,Final,,Scopus,2-s2.0-85072308142
"Adeniyi, A.A., Conradie, J.","55388336000; 7004072670","Computational insight into the anticholinesterase activities and electronic properties of physostigmine analogs",2019,"Future Medicinal Chemistry",11,"16",,1907,1928,,2,10.4155/fmc-2018-0421,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072146825&partnerID=40&md5=282908c6026665f58df0ba5fa38a317f",Article,Final,,Scopus,2-s2.0-85072146825
"Nwanna, E.E., Ibukun, E.O., Oboh, G.","17346699800; 16417053600; 6603569317","Eggplant (Solanum spp) supplemented fruits diet modulated the activities of ectonucleoside triphosphate diphosphohydrolase (ENTPdase), monoamine oxidase (MAO), and cholinesterases (AChE/BChE) in the brain of diabetic Wistar male rats",2019,"Journal of Food Biochemistry",43,"8", e12910,,,,4,10.1111/jfbc.12910,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85066476367&partnerID=40&md5=217607e9c0aaf828ba4e3c2d21047b3f",Article,Final,,Scopus,2-s2.0-85066476367
"Hadda, T.B., Rauf, A., Zgou, H., Senol, F.S., Orhan, I.E., Mabkhot, Y.N., Althagafi, I.I., Farghaly, T.A., Alterary, S.","54921895300; 57193656102; 16320137900; 26428948100; 7004467864; 24376897000; 56202239000; 8854096600; 57190867729","Drug design of inhibitors of alzheimer’s disease (AD): POM and DFT analyses of cholinesterase inhibitory activity of β-amino di-carbonyl derivatives",2019,"Mini-Reviews in Medicinal Chemistry",19,"8",,688,705,,1,10.2174/1389557518666181102102816,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85066441136&partnerID=40&md5=e11553d4326cd885cafbf5fd39bc17df",Article,Final,,Scopus,2-s2.0-85066441136
"Nepovimova, E., Korabecny, J., Hepnarova, V., Jun, D., Doleza, R., Muckova, L., Jost, P., Soukup, O., Janockova, J., Pham, N.L., Nguyen, T.D., Valis, M., Kuca, K.","36703250600; 35734188400; 57201094383; 8646672600; 57209693353; 56986613600; 55130003800; 23968390800; 55440335300; 57195471034; 57209165830; 25621714800; 57197789737","N-alkylated tacrine derivatives as potential agents in alzheimer’s disease therapy",2019,"Current Alzheimer Research",16,"4",,333,343,,,10.2174/1567205016666190314163942,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85066403647&partnerID=40&md5=72bf3cabc39c461b442b1b2ee587cd0e",Article,Final,,Scopus,2-s2.0-85066403647
"Parambi, D.G.T., Aljoufi, F., Murugaiyah, V., Mathew, G.E., Dev, S., Lakshminarayanan, B., Hendawy, O.M., Mathew, B.","36996048500; 57205249791; 15124650600; 36872548200; 35073743400; 36098833500; 57204924995; 37000054700","Cholinesterase inhibitory activities of selected halogenated thiophene chalcones",2019,"Central Nervous System Agents in Medicinal Chemistry",19,"1",,67,71,,3,10.2174/1871524918666181119114016,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85064112362&partnerID=40&md5=a23057924297ca277186d4630f3b6648",Article,Final,,Scopus,2-s2.0-85064112362
"Estrada-Valencia, M., Herrera-Arozamena, C., Pérez, C., Viña, D., Morales-García, J.A., Pérez-Castillo, A., Ramos, E., Romero, A., Laurini, E., Pricl, S., Rodríguez-Franco, M.I.","57217603381; 56466078800; 56220726900; 6505854092; 16549925000; 57198370629; 7102967863; 56321052600; 24073372100; 7004615459; 6701569790","New flavonoid–N,N-dibenzyl(N-methyl)amine hybrids: Multi-target-directed agents for Alzheimer´s disease endowed with neurogenic properties",2019,"Journal of Enzyme Inhibition and Medicinal Chemistry",34,"1",,712,727,,11,10.1080/14756366.2019.1581184,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85062604627&partnerID=40&md5=4df95e6bae082bd51718721aaf296b0a",Article,Final,Open Access,Scopus,2-s2.0-85062604627
"Abbasi, M.A., Ur-Rehman, A., Siddiqui, S.Z., Ul Hadi, N., Mumtaz, A., Shah, S.A.A., Ashraf, M., Abbasi, G.H.","7004042601; 54895908000; 36240735500; 57199680153; 57206204763; 56041213000; 55544464800; 55225699100","Synthesis of some new N-(alkyl/aralkyl)-N-(2,3-dihydro-1,4-benzodioxan-6-yl)-4-chlorobenzenesulfonamides as possible therapeutic agents for Alzheimer’s disease and Type-2 Diabetes",2019,"Pakistan Journal of Pharmaceutical Sciences",32,"1",,61,68,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85061745776&partnerID=40&md5=b12b25b999ed68f2a5eb0ca5ce281884",Article,Final,,Scopus,2-s2.0-85061745776
"Secci, D., Carradori, S., Petzer, A., Guglielmi, P., D’Ascenzio, M., Chimenti, P., Bagetta, D., Alcaro, S., Zengin, G., Petzer, J.P., Ortuso, F.","6602810282; 12781515600; 53664306800; 7003900564; 57189646299; 6602816352; 57195528794; 6701804321; 8411629800; 6602261919; 6602629054","4-(3-Nitrophenyl)thiazol-2-ylhydrazone derivatives as antioxidants and selective hMAO-B inhibitors: synthesis, biological activity and computational analysis",2019,"Journal of Enzyme Inhibition and Medicinal Chemistry",34,"1",,597,612,,18,10.1080/14756366.2019.1571272,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85061130350&partnerID=40&md5=cf16bcc1c0ab2df6d15f4c249fa68189",Article,Final,Open Access,Scopus,2-s2.0-85061130350
"de Souza, G.A., da Silva, S.J., Del Cistia, C.D.N., Pitasse-Santos, P., Pires, L.D.O., Passos, Y.M., Cordeiro, Y., Cardoso, C.M., Castro, R.N., Sant’Anna, C.M.R., Kümmerle, A.E.","57205683701; 57201479898; 55640614300; 57200159169; 57205682456; 57205681966; 6506420226; 57201479573; 55428565700; 16422965900; 8901942900","Discovery of novel dual-active 3-(4-(dimethylamino)phenyl)-7-aminoalcoxy-coumarin as potent and selective acetylcholinesterase inhibitor and antioxidant",2019,"Journal of Enzyme Inhibition and Medicinal Chemistry",34,"1",,631,637,,7,10.1080/14756366.2019.1571270,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85061078663&partnerID=40&md5=ff88570bce9a2ba336913c96c0108b9d",Article,Final,Open Access,Scopus,2-s2.0-85061078663
"Pachón-Angona, I., Refouvelet, B., Andrýs, R., Martin, H., Luzet, V., Iriepa, I., Moraleda, I., Diez-Iriepa, D., Oset-Gasque, M.-J., Marco-Contelles, J., Musilek, K., Ismaili, L.","57205343401; 6602166661; 56492669700; 7401980909; 35190842700; 56035251300; 36176197800; 57205672274; 7004173468; 7005677052; 10540229700; 6603311615","Donepezil + chromone + melatonin hybrids as promising agents for Alzheimer’s disease therapy",2019,"Journal of Enzyme Inhibition and Medicinal Chemistry",34,"1",,479,489,,14,10.1080/14756366.2018.1545766,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85061054004&partnerID=40&md5=8fcfc7390b84ef5443f260d3cdddb6b1",Article,Final,Open Access,Scopus,2-s2.0-85061054004
"Ahmadi-Motamayel, F., Goodarzi, M.T., Tarazi, S., Vahabian, M.","55014630500; 55554180700; 57204974676; 12902627600","Evaluation of salivary acetylcholinesterase and pseudocholinesterase in patients with Alzheimer's disease: A case–control study",2019,"Special Care in Dentistry",39,"1",,39,44,,6,10.1111/scd.12342,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85058227222&partnerID=40&md5=d96fcb4326438e776893d27561f2eca7",Article,Final,Open Access,Scopus,2-s2.0-85058227222
"Gao, C.-Z., Dong, W., Cui, Z.-W., Yuan, Q., Hu, X.-M., Wu, Q.-M., Han, X., Xu, Y., Min, Z.-L.","57194347987; 56949713900; 57201433140; 9041540200; 8909041200; 56284866400; 7402401137; 57204641361; 22953960100","Synthesis, preliminarily biological evaluation and molecular docking study of new Olaparib analogues as multifunctional PARP-1 and cholinesterase inhibitors",2019,"Journal of Enzyme Inhibition and Medicinal Chemistry",34,"1",,150,162,,7,10.1080/14756366.2018.1530224,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85056510062&partnerID=40&md5=f291435820fb71fee92b9c122737ea23",Article,Final,Open Access,Scopus,2-s2.0-85056510062
"Gholami, M., Rezvanfar, M.R., Delavar, M., Abdollahi, M., Khosrowbeygi, A.","57218540673; 16679367300; 55894360600; 57200398060; 22635047200","Effects of Coenzyme Q <inf>10</inf> Supplementation on Serum Values of Gamma-glutamyl transferase, Pseudocholinesterase, Bilirubin, Ferritin, and High-Sensitivity C-Reactive Protein in Women with Type 2 Diabetes",2019,"Experimental and Clinical Endocrinology and Diabetes",127,"5",,311,319,,7,10.1055/s-0043-124183,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85041117276&partnerID=40&md5=958c56c4d6b11260badede89943dcd07",Article,Final,,Scopus,2-s2.0-85041117276
"de Morais, D.V., Moreira, M.M., Silva, F.L., de Carvalho Costa, M.A.P., Delerue-Mato, C., de Carvalho, C.A.L., Estevinho, M.L.M.","57204922161; 7103289231; 57210841582; 6508258156; 57204912900; 16834653300; 6506577664","Dalbergia ecastaphyllum leaf extracts: In vitro inhibitory potential against enzymes related to metabolic syndrome, inflammation and neurodegenerative diseases",2019,"Acta Scientiarum - Biological Sciences",41,"1", e46622,,,,1,10.4025/actascibiolsci.v41i1.46622,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85077068717&partnerID=40&md5=20e85ced0622bf41aaf95bc491221b14",Article,Final,Open Access,Scopus,2-s2.0-85077068717
"Han, S.-M., Kim, J.-Y., Kim, C., Lee, J.-S.","56528646000; 57203765217; 26026545400; 57201264445","Characteristics of unrecorded wild yeasts obtained from the soil of spices plant fields and its physiological functionality",2019,"Korean Journal of Mycology",47,"1",,75,81,,,10.4489/KJM.20190009,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85074871533&partnerID=40&md5=0c7bd65309af025e0273d49e2c975b0b",Article,Final,,Scopus,2-s2.0-85074871533
"Zengin, G., Aktumsek, A., Mocan, A., Rengasamy, K.R.R., Picot, C.M.N., Mahomoodally, M.F.","8411629800; 55821816000; 57189447245; 55422753800; 56105121100; 9537009000","Asphodeline cilicica Tuzlaci: From the plant to its most active part extract and its broad bioactive properties",2019,"South African Journal of Botany",120,"",,186,190,,6,10.1016/j.sajb.2018.05.014,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85047912396&partnerID=40&md5=59851fbe65eb35b60eb3a551a3036a30",Article,Final,Open Access,Scopus,2-s2.0-85047912396
"Thuphairo, K., Sornchan, P., Suttisansanee, U.","57191616486; 57190131509; 36998954300","Bioactive compounds, antioxidant activity and inhibition of key enzymes relevant to Alzheimer's disease from sweet pepper (capsicum annuum) extracts",2019,"Preventive Nutrition and Food Science",24,"3",,327,337,,10,10.3746/pnf.2019.24.3.327,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85076413100&partnerID=40&md5=26ff0337c8210761a1e662665c2ebcb4",Article,Final,,Scopus,2-s2.0-85076413100
"Ayaz, M., Sadiq, A., Junaid, M., Ullah, F., Ovais, M., Ullah, I., Ahmed, J., Shahid, M.","8773170600; 55507756800; 57222665117; 26639950400; 57192169957; 35742066900; 34879515300; 57213727771","Flavonoids as prospective neuroprotectants and their therapeutic propensity in aging associated neurological disorders",2019,"Frontiers in Aging Neuroscience",11,"JUN", 155,,,,55,10.3389/fnagi.2019.00155,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85069465926&partnerID=40&md5=5e48de2fb673553fc1639e7545e4dcdc",Review,Final,Open Access,Scopus,2-s2.0-85069465926
"Tedla, B.A., Sotillo, J., Pickering, D., Eichenberger, R.M., Ryan, S., Becker, L., Loukas, A., Pearson, M.S.","57211142920; 24068135200; 35183893900; 36945172600; 56585344300; 56072762200; 7006573927; 7202818565","Novel cholinesterase paralogs of Schistosoma mansoni have perceived roles in cholinergic signaling and drug detoxification and are essential for parasite survival",2019,"PLoS Pathogens",15,"12", e1008213,,,,3,10.1371/journal.ppat.1008213,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85077016893&partnerID=40&md5=0fe627dbe5362f2e9838192c38d27dc1",Article,Final,Open Access,Scopus,2-s2.0-85077016893
"Ergül, M., Ergül, M., Eruygur, N., Ataş, M., Uçar, E.","56616896500; 56038019900; 56487906500; 26321060300; 57195252514","In vitro evaluation of the chemical composition and various biological activities of ficus carica leaf extracts | Ficus carica yaprak ekstrelerinin kimyasal bileşiminin ve çeşitli biyolojik aktivitelerinin in vitro değerlendirilmesi",2019,"Turkish Journal of Pharmaceutical Sciences",16,"4",,401,409,,1,10.4274/tjps.galenos.2018.70037,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85076514713&partnerID=40&md5=2303447e1898931c5e0ab2f0c8c04c1b",Article,Final,Open Access,Scopus,2-s2.0-85076514713
"Olasehinde, T.A., Mabinya, L.V., Olaniran, A.O., Okoh, A.I.","56088263100; 7801519530; 6603083291; 15026992900","Chemical characterization of sulfated polysaccharides from Gracilaria gracilis and Ulva lactuca and their radical scavenging, metal chelating, and cholinesterase inhibitory activities",2019,"International Journal of Food Properties",22,"1",,100,110,,11,10.1080/10942912.2019.1573831,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85069503750&partnerID=40&md5=b8ad93d0153f0fcc7d41e56bf5fdf15e",Article,Final,Open Access,Scopus,2-s2.0-85069503750
"Sang, Z., Wang, K., Han, X., Cao, M., Tan, Z., Liu, W.","55328061900; 57193499880; 57196034399; 57205358909; 7201599803; 56145783500","Design, Synthesis, and Evaluation of Novel Ferulic Acid Derivatives as Multi-Target-Directed Ligands for the Treatment of Alzheimer's Disease",2019,"ACS Chemical Neuroscience",,"",,,,,18,10.1021/acschemneuro.8b00530,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85059780377&partnerID=40&md5=ecc55cffa28628e665d4a456dc25a1f7",[No source information available],Article in Press,,Scopus,2-s2.0-85059780377
"Akata, I., Zengin, G., Picot, C.M.N., Mahomoodally, M.F.","26324773200; 8411629800; 56105121100; 9537009000","Enzyme inhibitory and antioxidant properties of six mushroom species from the Agaricaceae family",2019,"South African Journal of Botany",120,"",,95,99,,15,10.1016/j.sajb.2018.01.008,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85041560612&partnerID=40&md5=77ac1571106858dabd0a05c022e8c20e",Article,Final,Open Access,Scopus,2-s2.0-85041560612
"Çayan, F., Tel-çayan, G., Deveci, E., Öztürk, M., Duru, M.E.","56005323200; 57194732739; 56089358000; 7102665882; 12789661400","Chemical profile, in vitro enzyme inhibitory, and antioxidant properties of stereum species (Agaricomycetes) from Turkey",2019,"International Journal of Medicinal Mushrooms",21,"11",,1075,1087,,4,10.1615/IntJMedMushrooms.2019032893,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85081700109&partnerID=40&md5=45fb538ce9a0d3d79c8d3ba1e5ab8d0f",Article,Final,,Scopus,2-s2.0-85081700109
"Gayvoronsky, I.V., Iordanishvili, A.K., Kovalevsky, A.M., Pashchenko, P.S., Gayvoronskaya, M.G.","57209746770; 7003479773; 57204512515; 6701385139; 57028288500","Histochemical characteristics of the condition of the nervous apparatus of the masseter and the parotid gland in the systematic exposure of general vibration and pharmacological correction in the experiment | ГИСТОХИМИЧЕСКАЯ ХАРАКТЕРИСТИКА СОСТОЯНИЯ НЕРВНОГО АППАРАТА ЖЕВАТЕЛЬНОЙ МЫШЦЫ И ОКОЛОУШНОЙ ЖЕЛЕЗЫ ПРИ СИСТЕМАТИЧЕСКОМ ВОЗДЕЙСТВИИ ОБЩЕЙ ВИБРАЦИИ И ФАРМАКОЛОГИЧЕСКОЙ КОРРЕКЦИИ В ЭКСПЕРИМЕНТЕ",2019,"Medical News of North Caucasus",14,"1",,176,180,,,10.14300/mnnc.2019.14009,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85068609543&partnerID=40&md5=dfcbfd27c06f1f7487b4113f79159efd",Article,Final,Open Access,Scopus,2-s2.0-85068609543
"Rodrigues, M.J., Oliveira, M., Neves, V., Ovelheiro, A., Pereira, C.A., Neng, N.R., Nogueira, J.M.F., Varela, J., Barreira, L., Custódio, L.","56031608100; 57199779317; 57113261500; 37024605500; 57189607598; 16310170900; 57221315786; 55741416000; 7004168179; 15831018900","Coupling sea lavender (Limonium algarvense Erben) and green tea (Camellia sinensis (L.) Kuntze) to produce an innovative herbal beverage with enhanced enzymatic inhibitory properties",2019,"South African Journal of Botany",120,"",,87,94,,9,10.1016/j.sajb.2017.12.003,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85039548652&partnerID=40&md5=c09700a499c366ed39afc99212241990",Article,Final,Open Access,Scopus,2-s2.0-85039548652
"Kawamoto, H., Takeshita, F., Murata, K.","57210900173; 57210901228; 35332865700","Inhibitory Effects of Essential Oil Extracts From Panax ginseng Against β-Secretase and Cholinesterases",2019,"Natural Product Communications",14,"8",,,,,,10.1177/1934578X19873443,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85087952807&partnerID=40&md5=a6723a22c620691dba4a50b92c8a888f",Article,Final,Open Access,Scopus,2-s2.0-85087952807
"Ghajarbeygi, P., Hajhoseini, A., Hosseini, M.-S., Sharifan, A.","57191584653; 57213820869; 55355018400; 57221806085","An in vitro and in vivo cholinesterase inhibitory activity of Pistacia khinjuk and Allium sativum essential oils",2019,"Journal of Pharmacopuncture",22,"4",,231,238,,1,10.3831/KPI.2019.22.031,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85081737298&partnerID=40&md5=2aa138f94b7684b72de8162b0dec3b4c",Article,Final,,Scopus,2-s2.0-85081737298
"Mohamed, D.A., Fouda, K., Hamed, I.M., Abdelgayed, S.S.","8685446400; 36350689500; 23566646800; 35171209400","Protective effect of kumquat fruits and carrot seeds extracts against brain aging in rats",2019,"Journal of HerbMed Pharmacology",8,"4",,287,294,,,10.15171/jhp.2019.42,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85076094253&partnerID=40&md5=254d9211412ed5aed39a628daa1e8a0e",Article,Final,Open Access,Scopus,2-s2.0-85076094253
